PicklesName,SpecType,Teff,g_s-g,g_s-r_s,i_s-i,i_s-z_s,r_s-i_s,r_s-r,u_s-g_s,u_s-u,z_s-z
pickles_uk_1,O5V,39810.7,-0.014834898641632677,-0.5671073596653464,0.009294238723592585,-0.31849954486871646,-0.418328061116755,-0.030729032453590932,-0.4542298333791077,0.0137310493360836,-0.002061849949020811
pickles_uk_2,O9V,35481.4,-0.014018036260122102,-0.567681163883309,0.009002611077391975,-0.3441669790350801,-0.39180314615148326,-0.03012410339692373,-0.3913844975784855,0.012271490578505961,-0.0013843647073432663
pickles_uk_3,B0V,28183.8,-0.014014041528090715,-0.5369680744631271,0.008227562958708745,-0.2991403096844216,-0.38439690548730354,-0.029848029311517976,-0.33749442579672184,-0.02154148331668715,0.001273001511037819
pickles_uk_4,B1V,22387.2,-0.011446397446357892,-0.4448216877320519,0.0066615619834369255,-0.23738345062158217,-0.3613924755171407,-0.026290034269178975,-0.21403707660834215,-0.027141648174353605,-0.0026785092440615443
pickles_uk_5,B3V,19054.6,-0.010586283749026038,-0.41957307609497185,0.006749195121408036,-0.2448003759420061,-0.2861686155136898,-0.022884948249821235,0.014876657545812577,-0.1079607381543699,0.000825448153259245
pickles_uk_6,B5-7V,14125.4,-0.009004428455750002,-0.3575456133248469,0.006394000818797707,-0.21408855765677615,-0.2510856618031774,-0.019405589184581018,0.2636509439427037,-0.1988209391681277,0.006980355349311296
pickles_uk_7,B8V,11749.0,-0.008599202469621758,-0.29963580726455596,0.006573982160716696,-0.14824529748586102,-0.25955594557364847,-0.018952772499227777,0.4380286345371758,-0.27462364244085613,0.011048515757488886
pickles_uk_9,A0V,9549.93,-0.00470408791831467,-0.23122501104540838,0.007223685463349838,-0.14789069163644974,-0.2064055114465173,-0.014302991639631557,0.7438697322335397,-0.31468968095559546,0.02124859139933477
pickles_uk_10,A2V,8912.51,-0.003902540916131514,-0.20434939980204092,0.006029697764862618,-0.13104607956590364,-0.18866605281825777,-0.012897535814662575,0.7848823138658112,-0.3523833954229918,0.015543946817693666
pickles_uk_11,A3V,8790.23,-0.002085703401650818,-0.1366221287079057,0.00565277481521953,-0.1392062618913812,-0.16704178936946334,-0.0099595979386784,0.7950249255923865,-0.3364890471938331,0.015936370946061373
pickles_uk_12,A5V,8491.8,-7.735523951168943e-06,-0.08816897662972245,0.006505100094569727,-0.07998145839190762,-0.12624341959471685,-0.007330415487230013,0.836654321906849,-0.3324378783559734,0.029203083818831743
pickles_uk_14,F0V,7211.08,0.005187259828915103,0.10038369311243045,0.004496876345317702,-0.08933258348508843,-0.018763736357371386,0.005030394522945514,0.8929680423688424,-0.22676371822718444,0.03510861562937606
pickles_uk_15,F2V,6776.42,0.00870164184835609,0.18186237267251393,0.003725564663330516,-0.013133981042459553,0.026113942684169444,0.007452513770656921,0.8725772861516994,-0.19001399771882888,0.029703331854744164
pickles_uk_16,F5V,6531.31,0.010093279333151628,0.2461402384789544,0.003984933404858282,-0.018486514600841275,0.03351879741519781,0.011107648960408056,0.8857002258144178,-0.1432542149494651,0.0430883621051148
pickles_uk_20,F8V,6039.48,0.013555841465196394,0.3432840857682695,0.004044436699894405,0.03346309967115069,0.09554993227251884,0.01784308760874609,1.0184060332835454,-0.12531334935463434,0.04826947386699132
pickles_uk_23,G0V,5807.64,0.014345027098640273,0.3602042084625854,0.004625106659140954,0.01746569402850895,0.14282180423796476,0.020617099939869377,1.100244813804471,-0.10999120603720236,0.04502130760071843
pickles_uk_26,G2V,5636.38,0.0167856796189767,0.4274844167629812,0.004612097135328952,0.04253364619464506,0.15841396381530792,0.024205879319962875,1.1987845042983487,-0.08576564520777019,0.05859849760089375
pickles_uk_27,G5V,5584.7,0.01893398964852011,0.4585500571251231,0.004404851939490584,0.05535334458536312,0.16805024994378925,0.024749972779517293,1.3122671126598053,-0.08770606800957914,0.056571215702220456
pickles_uk_30,G8V,5333.35,0.022257992910178714,0.5407991730572856,0.00451163168795965,0.049184916949068125,0.19435109622631863,0.029728893901371123,1.4833730377401189,-0.040345865924532376,0.059241387080646746
pickles_uk_31,K0V,5188.0,0.022444510403332174,0.5857251916939692,0.005130989861497071,0.06647461215476724,0.22160374053574827,0.03402812608310235,1.521283907925671,-0.07102505045135565,0.06520274848671548
pickles_uk_33,K2V,4886.52,0.030633245433323353,0.7332200619940075,0.005723457176111779,0.10170407436532436,0.248948895519435,0.0396183065646305,1.8483916036344006,-0.018515151556814047,0.07678687543984353
pickles_uk_36,K5V,4187.94,0.04877193094927357,1.114707291812575,0.005713681300314022,0.1810425163716225,0.4315278980002226,0.05583141008674808,2.41502594418721,-0.05530417002295174,0.09587713233686479
pickles_uk_37,K7V,3999.45,0.05795996269231374,1.2524703838967515,0.003120365356014787,0.26684347180012935,0.5812683834931462,0.06561960411576706,2.401841777706938,-0.11050828745837116,0.09037936168711092
pickles_uk_38,M0V,3801.89,0.056528095779302845,1.2364199890147898,0.008318630119461545,0.34955462340655785,0.6841176259141459,0.08410494054318463,2.5012753193972213,-0.10455080948674578,0.1263688383043604
pickles_uk_40,M2V,3548.13,0.05732022701679362,1.3236448972279824,0.007545825775665094,0.47180651984216126,0.9277603570727777,0.10675552423015588,2.381482938296932,-0.1684552027313977,0.14054132472951153
pickles_uk_43,M4V,3111.72,0.055466380598534926,1.3563954581441031,0.012490081714746637,0.6768313985887175,1.6254469122502009,0.213957047304989,2.9041198447664804,-0.20790971302270833,0.1844294922705032
pickles_uk_44,M5V,2951.21,0.0573590942454576,1.4517098023505177,0.029429148419602313,0.8099671930437111,1.8831482829730373,0.3729032090030078,2.88787453613733,-0.16968348987476567,0.2626256109185512
